Clinic,Name,Url,Cost,Time
The Acupuncture Hub,Lana Alberts,https://theacuhub.janeapp.com/#/staff_member/3/treatment/2,50,10
The Acupuncture Hub,Elise Greaves,https://theacuhub.janeapp.com/#/staff_member/8/treatment/2,50,10
The Acupuncture Hub,Vicki Im,https://theacuhub.janeapp.com/#/staff_member/1/treatment/2,50,10
The Acupuncture Hub,Sara Irving,https://theacuhub.janeapp.com/#/staff_member/2/treatment/2,50,10
Yaletown Wellness,Ichigen Mori,https://yaletownwellness.janeapp.com/#/staff_member/18/treatment/297,100,60
Yaletown Wellness,Sungwoon Tjen,https://yaletownwellness.janeapp.com/#/staff_member/9/treatment/165,100,60
Yaletown Wellness,Melanie Kwak,https://yaletownwellness.janeapp.com/#/staff_member/1/treatment/164,100,30
Green Leaf,Clara Donghee Kim,https://greenleafacuclinic.janeapp.com/#/staff_member/4/treatment/9,110,30
Green Leaf,Byoung Jin Na,https://greenleafacuclinic.janeapp.com/#/staff_member/1/treatment/9,110,30
Acubalance,Lorne Brown,https://acubalance.janeapp.com/#/staff_member/2/treatment/2,140,60
Acubalance,Christina Cecconi,https://acubalance.janeapp.com/#/staff_member/8/treatment/423,95,60
Acubalance,Ryan Funk,https://acubalance.janeapp.com/#/staff_member/4/treatment/423,95,60
Acubalance,Katheleen Lee,https://acubalance.janeapp.com/#/staff_member/29/treatment/423,95,60
Acubalance,Allison Locke,https://acubalance.janeapp.com/#/staff_member/30/treatment/423,95,60
Acubalance,Bronwyn Melville,https://acubalance.janeapp.com/#/staff_member/7/treatment/423,95,60
Acubalance,Emilie Salomons,https://acubalance.janeapp.com/#/staff_member/5/treatment/423,95,60
Electra Health Floor,Rudy Lee,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/18/treatment/656,115,60
Electra Health Floor,Ming Ma,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/91/treatment/517,115,60
Electra Health Floor,Sharon Mo,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/117/treatment/598,115,60
Electra Health Floor,Jessica Zerr,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/37/treatment/517,115,60
Electra Health Floor,Jiehao Zhang,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/32/treatment/647,118,60
Sinclair Wellness,Janice Jensen,https://sinclairwellnesscentre.janeapp.com/locations/sinclair-wellness-centre/book#/staff_member/21/treatment/144,110,70
Sinclair Wellness,Tracy Le Chang,https://sinclairwellnesscentre.janeapp.com/locations/sinclair-wellness-centre/book#/staff_member/7/treatment/29,110,70
Sinclair Wellness,Teresa Nieman,https://sinclairwellnesscentre.janeapp.com/locations/sinclair-wellness-centre/book#/staff_member/8/treatment/112,120,60
Boda Health,Jeda Boughton,https://bodahealth.janeapp.com/#/staff_member/2/treatment/58,105,60
Boda Health,Heather Howe,https://bodahealth.janeapp.com/#/staff_member/6/treatment/21,95,60
Boda Health,Emily Lewis,https://bodahealth.janeapp.com/#/staff_member/7/treatment/24,95,60
Boda Health,Kristen Lukovich,https://bodahealth.janeapp.com/#/staff_member/12/treatment/27,95,60
Boda Health,Vanessa Tam,https://bodahealth.janeapp.com/#/staff_member/9/treatment/51,95,60
Health Customized,Vajeh Dasht-Laali,https://bonnchiro.janeapp.com/#/staff_member/38/treatment/140,95,60
Adrien Ip,Adrien Ip,https://adrienip.janeapp.com/locations/adrien-ip-tcm-acupuncture-vancouver/book#/staff_member/1/treatment/2,90,30
Adrien Ip,Adrien Ip,https://adrienip.janeapp.com/locations/adrien-ip-tcm-acupuncture-richmond/book#/staff_member/1/treatment/2,90,30
Oliver Barre,Alaunius Integrated Medicine,https://aimedicines.janeapp.com/#/staff_member/1/treatment/2,115,60
Qi Integrated Health,Calvin Crichton,https://qiintegratedhealth.janeapp.com/#/staff_member/147/treatment/990,112,75
Qi Integrated Health,Tedi Fisher,https://qiintegratedhealth.janeapp.com/#/staff_member/80/treatment/607,112,30
Qi Integrated Health,Julie Nelson,https://qiintegratedhealth.janeapp.com/#/staff_member/124/treatment/986,112,60
Qi Integrated Health,Hailey Samuelsson,https://qiintegratedhealth.janeapp.com/#/staff_member/88/treatment/964,115,60
Qi Integrated Health,Karyn Smith,https://qiintegratedhealth.janeapp.com/#/staff_member/25/treatment/986,112,60
Acupoint Wellness Centre,Jenna Smith,https://acupoint.janeapp.com/#/staff_member/16/treatment/106,115,60
Acupoint Wellness Centre,Tracy Cheng,https://acupoint.janeapp.com/#/staff_member/14/treatment/106,55,60
Acupoint Wellness Centre,Suka Lang,https://acupoint.janeapp.com/#/staff_member/1/treatment/91,115,30
Bamboo Healing Centre,Keema Shield,https://bamboohealingcentre.janeapp.com/#/staff_member/1/treatment/1,125,30
Electra Health Floor,Jiehao Zhang,https://electrahealth.janeapp.com/locations/electra-health-floor/book#/staff_member/32/treatment/647,118,60
